date,county,parameter,arithmetic_mean,local_site_name,city,state,county_code,latitude,longitude,units_of_measure
2024-03-31,San Diego,Lead (TSP) LC,0.013500000000000002,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2024-03-31,Santa Clara,Lead (TSP) LC,0.0153,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2024-06-30,Los Angeles,Lead (TSP) LC,0.00815,Compton,Compton,California,37,33.9014,-118.205,Micrograms/cubic meter (LC)
2024-06-30,Riverside,Lead (TSP) LC,0.0034,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2024-06-30,San Bernardino,Lead (TSP) LC,0.0047,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2024-06-30,San Diego,Lead (TSP) LC,0.0117,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2024-06-30,Santa Clara,Lead (TSP) LC,0.0151,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2024-09-30,Los Angeles,Lead (TSP) LC,0.0095875,Closet World (Quemetco),Industry (corporate name for City of Industry),California,37,34.0264,-117.9822,Micrograms/cubic meter (LC)
2024-09-30,Riverside,Lead (TSP) LC,0.0049,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2024-09-30,San Bernardino,Lead (TSP) LC,0.0093,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2024-09-30,San Diego,Lead (TSP) LC,0.01105,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2024-09-30,Santa Clara,Lead (TSP) LC,0.0075,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2024-12-31,Los Angeles,Lead (TSP) LC,0.009033333333333332,Compton,Compton,California,37,33.9014,-118.205,Micrograms/cubic meter (LC)
2024-12-31,Riverside,Lead (TSP) LC,0.0079,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2024-12-31,San Bernardino,Lead (TSP) LC,0.009,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2024-12-31,San Diego,Lead (TSP) LC,0.01595,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2024-12-31,Santa Clara,Lead (TSP) LC,0.0124,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
