County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg,Year
6001,"Alameda County, CA",1.9,1.7,,,,,,,,,,,,,2024
6005,"Amador County, CA",,,,,0.09,0.072,,,,,,,,,2024
6007,"Butte County, CA",2.8,1.4,25,4,0.08,0.067,,,,25,6.8,76,20,,2024
6009,"Calaveras County, CA",,,,,0.09,0.072,,,,13,5.5,30,13,,2024
6011,"Colusa County, CA",,,,,,,,,,19,10.7,68,21,,2024
6013,"Contra Costa County, CA",1.2,0.7,,,,,,,,21,9.7,,,,2024
6017,"El Dorado County, CA",,,,,0.09,0.072,,,,,,30,14,,2024
6019,"Fresno County, CA",1.7,1.5,46,16,0.11,0.088,6,2,1,43,13.5,154,44,,2024
6021,"Glenn County, CA",,,,,0.07,0.057,,,,,,,,,2024
6023,"Humboldt County, CA",,,13,1,0.05,0.047,1,1,0,20,6.6,54,17,,2024
6025,"Imperial County, CA",,,58,11,0.13,0.081,5,2,0,52,13.6,293,53,,2024
6027,"Inyo County, CA",0.3,0.2,,,0.08,0.072,,,,28,9.6,865,25,,2024
6029,"Kern County, CA",1.6,0.9,43,15,0.11,0.088,,,,64,15.6,124,49,,2024
6031,"Kings County, CA",,,35,7,0.1,0.083,,,,37,11.8,175,47,,2024
6033,"Lake County, CA",,,,,0.08,0.05,,,,7,3.2,19,10,,2024
6037,"Los Angeles County, CA",3.5,2.6,63,21,0.14,0.107,8,1,0,42,13.5,134,32,0.02,2024
6039,"Madera County, CA",,,20,5,0.09,0.077,,,,31,9,121,35,,2024
6041,"Marin County, CA",0.9,0.7,,,,,,,,,,,,,2024
6043,"Mariposa County, CA",,,,,0.09,0.074,,,,,,,,,2024
6045,"Mendocino County, CA",,,,,,,,,,18,7,42,13,,2024
6047,"Merced County, CA",,,,,0.1,0.081,,,,27,7.8,105,31,,2024
6051,"Mono County, CA",,,,,,,,,,14,5.4,64,18,,2024
6053,"Monterey County, CA",1,0.6,20,3,0.07,0.057,,,,16,6.2,72,22,,2024
6057,"Nevada County, CA",,,,,,,,,,11,4.1,,,,2024
6059,"Orange County, CA",3.3,2.4,51,20,0.12,0.08,,,,29,11,54,26,,2024
6061,"Placer County, CA",,,31,5,0.09,0.079,,,,19,6.9,39,15,,2024
6063,"Plumas County, CA",,,,,,,,,,35,11.3,,,,2024
6065,"Riverside County, CA",2.8,1.4,51,13,0.14,0.107,1,1,0,54,14.9,311,47,0.01,2024
6067,"Sacramento County, CA",1.4,1.2,39,8,0.09,0.08,,,,27,8.6,48,19,,2024
6069,"San Benito County, CA",,,,,0.08,0.063,,,,14,7.2,33,13,,2024
6071,"San Bernardino County, CA",3.7,2.2,70,26,0.15,0.117,2,1,0,67,15.1,97,35,0.01,2024
